,fluid,field_name,operator,project_status,project_level,inplace,depth,temp,poro,perm,saturate,api_dens,visc,cap_cost,opr_cost,total_cost,avg_fluid_rate,location,region,NPV,PI
21,Gas,LUKAH,STAR ENERGY (KAKAP) LTD.,OFFSHORE,E8. Further Development Not Viable,8.586,3035.0,59.8829,0.187049,1219.978,0.5206411,0.8328982,0.0,16.74469,0.4730783,17.2177683,11.79412,Laut Natuna Utara,Sumatera,8.836845,0.5132398604759945
22,Gas,LX,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,18.405,3775.0,84.0044226961409,0.3553947,67.91208,0.6278563,0.7746674,0.0,342.4953,3.123314,345.618614,125.5798,Jawa Barat,Jawa,42.49821,0.12296273487168143
23,Gas,MAHA,CHEVRON GANAL LTD.,OFFSHORE,E8. Further Development Not Viable,92.3,8200.0,112.29721097189413,0.3004412,57.95309,0.6225463,0.8423855,0.0,181.0448,45.58623,226.63103,30.00198,Selat Makasar,Kalimantan,248.7996,1.0978178936926686
24,Gas,MATANG,PT MEDCO E&P MALAKA,ONSHORE,X1. Discovery under Evaluation,80.9,7785.0,110.13587362699516,0.1547602,245.0844,0.4875555,0.8034328,0.0,44.52336,12.98905,57.512409999999996,78.28732,Aceh,Sumatera,3.511855,0.06106256023699929
25,Gas,MAX,HUSKY-CNOOC MADURA LTD.,BOTH,X1. Discovery under Evaluation,107.11,5000.0,93.31992955040015,0.3014258,57.95309,0.7033963,0.8423855,0.0,44.52336,12.98905,57.512409999999996,66.49445,Laut Jawa,Jawa,15.66933,0.27245128486182374
26,Gas,MBF,HUSKY-CNOOC MADURA LTD.,BOTH,X1. Discovery under Evaluation,44.1,2300.0,69.78761923629938,0.206967,963.394,0.4788652,0.7165383,0.0,98.63638,80.70074,179.33712,9.279937,Laut Jawa,Jawa,31.97631,0.178302796431659
27,Gas,MDA,HUSKY-CNOOC MADURA LTD.,BOTH,X1. Discovery under Evaluation,62.0,4068.0,86.3873547926623,0.3742266,975.0449,0.4549168,0.7697566,0.0,53.45911,15.40781,68.86692000000001,74.84211,Laut Jawa,Jawa,10.61223,0.15409764223519795
28,Gas,MDK,HUSKY-CNOOC MADURA LTD.,BOTH,E2. Under Development,125.599,3250.0,79.42671121977969,0.3029544,114.4529,0.6609739,0.8423855,0.0,98.63638,63.55843,162.19481000000002,9.10302,Laut Jawa,Jawa,144.9187,0.8934854327336367
29,Gas,MOGOI DEEP,BP MUTURI HOLDINGS B.V.,BOTH,X1. Discovery under Evaluation,427.0,3691.0,83.30002434867919,0.2626095,332.6764,0.5920855,0.8382971,0.0,10.03342,0.8002567,10.8336767,49.19107,Papua Barat,Timur,130.4185,12.03824921229189
30,Gas,MOLAH,SANTOS (MADURA OFFSHORE) PTY. LTD.,OFFSHORE,X1. Discovery under Evaluation,75.0,3775.0,84.0044226961409,0.3033779,114.4529,0.7033963,0.8423855,0.0,182.4182,15.58769,198.00589000000002,52.61821,Laut Jawa,Jawa,248.7431,1.2562409128334515
31,Gas,MUSTIKA,KRISENERGY (SAKTI) B.V.,OFFSHORE,X1. Discovery under Evaluation,820.0,2250.0,69.2160043282578,0.1977402,165.1927,0.4614256,0.7808007,0.0,30.1424,39.99508,70.13748,47.48006,Laut Jawa,Jawa,444.5636,6.338459836310059
32,Gas,NORTH BETARA EXTENSION,PETROCHINA INTERNATIONAL JABUNG LTD.,ONSHORE,X0. Development Pending,20.31,4275.0,88.00677819973974,0.3336299,325.2355,0.6991754,0.7776215,0.0,34.43064,6.672631,41.103271,21.28564,Jambi,Sumatera,227.6714,5.539009291985546
33,Gas,NORTH CENTRAL JAVA A,PT PERTAMINA EP,BOTH,X0. Development Pending,14.9,3927.0,85.25452045501567,0.2674828,74.64626,0.5689393,0.7615536,0.0,60.03204,15.87064,75.90268,70.17223,Jawa Barat,Jawa,7.216869,0.095080555785382
34,Gas,NORTH CENTRAL JAVA B,PT PERTAMINA EP,BOTH,X0. Development Pending,49.804,5000.0,93.31992955040015,0.2907282,2487.279,0.6647971,0.8450114,0.0,26.21497,6.858007,33.072977,74.64538,Jawa Barat,Jawa,20.73091,0.6268232218708343
35,Gas,North Handil,PT PERTAMINA HULU SANGA SANGA,ONSHORE,X2. Development Undetermined,9.7,10000.0,120.95388620255649,0.1920483,106.1219,0.7816007,0.8186965,0.0,90.39942,10.32817,100.72759,6.950097,Kalimantan Timur,Kalimantan,142.3097,1.4128174812878973
36,Gas,NORTH SUMATRA AREA B J1 ,PT PERTAMINA HULU ENERGI NORTH SUMATERA OFFSHORE,BOTH,X1. Discovery under Evaluation,47.0,3995.0,85.80397488386213,0.2972679,235.6735,0.6878065,0.8423855,0.0,44.52336,12.98905,57.512409999999996,71.42558,Selat Malaka,Sumatera,60.11165,1.0451944197782705
37,Gas,NORTH SUMATRA AREA B J2,PT PERTAMINA HULU ENERGI NORTH SUMATERA OFFSHORE,BOTH,X1. Discovery under Evaluation,81.0,3995.0,85.80397488386213,0.297145,59.63661,0.6132483,0.8423855,0.0,53.53353,264.322,317.85553,78.28732,Selat Malaka,Sumatera,42.54945,0.13386411744983642
38,Gas,OY,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,1.95,2300.0,64.9,0.1600254,85.91798,0.4686813,0.7920626,0.0,102.0263,464.6703,566.6966,10.24635,Jawa Barat,Jawa,46.36026,0.08180790214728657
39,Gas,PANDUK N.MERBAU,PT PERTAMINA HULU ENERGI KAMPAR,ONSHORE,X1. Discovery under Evaluation,29.27,4275.0,88.00677819973974,0.3209264,160.4861,0.6991754,0.7746534,0.0,54.5873,63.45083,118.03813,7.838592,Riau,Sumatera,180.6197,1.530180967794051
40,Gas,PASIRJADI NAIK,PT PERTAMINA EP,BOTH,X0. Development Pending,3.953,1581.0,60.65409572930165,0.2984117,165.2994,0.694718,0.8423855,0.0,27.07529,162.5526,189.62789,6.490052,Jawa Barat,Jawa,898.2401,4.736856482450973
41,Gas,prangat,PT PERTAMINA HULU SANGA SANGA,ONSHORE,X2. Development Undetermined,8.325,1970.0,65.85808351136274,0.2376418,59.30872,0.5408942,0.6248093,0.0,347.0975,32.00403,379.10153,27.24387,Kalimantan Timur,Kalimantan,15.91588,0.04198315949819564
42,Gas,RAHMAT,PT ODIRA ENERGY KARANG AGUNG,ONSHORE,X2. Development Undetermined,20140.0,4275.0,88.00677819973974,0.3072473,942.7424,0.6183462,0.8440693,0.0,9.185711,83.9101,93.095811,165.6952,Sumatera Selatan,Sumatera,201.4686,2.1640995210837146
43,Gas,RENGASDENGKLOK N,PT PERTAMINA EP,BOTH,X0. Development Pending,9.429,1985.0,66.04528367644336,0.2205219,165.1224,0.6912154,0.739697,0.0,137.7276,15.56651,153.29411,13.31598,Jawa Barat,Jawa,39.11958,0.25519297512474554
44,Gas,RENGASDENGKLOK O,PT PERTAMINA EP,BOTH,X0. Development Pending,2.913,3250.0,79.42671121977969,0.1968782,107.3559,0.5945665,0.8201417,0.0,150.4337,468.6411,619.0748,2.691344,Jawa Barat,Jawa,66.36408,0.1071988069939206
45,Gas,SABAR,PETROCHINA INTERNATIONAL JABUNG LTD.,ONSHORE,X0. Development Pending,207.42,5300.0,95.37704372152862,0.2037659,148.4817,0.502045,0.8806835,0.0,187.4821,33.34017,220.82227,25.38097,Jambi,Sumatera,244.8879,1.1089818975232888
46,Gas,SAPI,PT PERTAMINA HULU KALIMANTAN TIMUR,OFFSHORE,E6. Further Development,201.0,8250.0,112.55295308197896,0.1820882,58.2107,0.6009694,0.819289,0.0,55.90171,35.02018,90.92189,64.21008,Selat Makasar,Kalimantan,12.30058,0.13528733289640152
47,Gas,SE,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,3.5,3300.0,103.4,0.2727549,879.6625,0.4497186,0.9040906,0.0,56.82687,43.2086,100.03547,60.1636,Jawa Barat,Jawa,11.59526,0.11591148619584632
48,Gas,SECANGGANG,EMP GEBANG LTD.,BOTH,X1. Discovery under Evaluation,1438.15,6174.0,100.98336952691272,0.1216229,193.0441,0.3000443,0.7977383,0.0,113.3358,39.74909,153.08489,17.16655,Selat Malaka,Sumatera,50.9751,0.3329858355060385
49,Gas,SESAYAP ,JOB PERTAMINA - MEDCO E&P SIMENGGARIS,BOTH,X1. Discovery under Evaluation,265.4,8200.0,112.29721097189413,0.2769079,269.4337,0.6133066,0.8417832,0.0,13.93542,18.02588,31.9613,66.46856,Kalimantan Utara,Kalimantan,4.890891,0.1530254088538326
50,Gas,SETURIAN,PT PERTAMINA HULU KALIMANTAN TIMUR,OFFSHORE,E6. Further Development,141.018,7100.0,106.40467283715252,0.2234726,93.64886,0.5616331,0.6433482,0.0,129.8456,11.76008,141.60567999999998,32.92207,Selat Makasar,Kalimantan,149.9563,1.0589709395837796
51,Gas,SOKANG,MEDCO E&P NATUNA LTD.,OFFSHORE,X1. Discovery under Evaluation,157.0,5948.0,99.58397091954245,0.2368029,502.7383,0.7327808,0.6248093,0.0,33.84485,35.79047,69.63532000000001,82.31956,Laut Natuna Utara,Sumatera,235.4044,3.3805316037895707
52,Gas,SOUTH SEMBAKUNG,JOB PERTAMINA - MEDCO E&P SIMENGGARIS,BOTH,E6. Further Development,49.32,2300.0,59.400000000000006,0.173438,478.4951,0.3863795,0.8328982,0.0,98.63638,80.70074,179.33712,15.51847,Kalimantan Utara,Kalimantan,160.6231,0.8956489320225506
53,Gas,SSX,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,6.19,1800.0,64.9,0.2837435,2360.414,0.6360077,0.756624,0.0,26.21497,3.964931,30.179901,56.15696,Jawa Barat,Jawa,19.35496,0.6413195324928335
54,Gas,TUNU,PT PERTAMINA HULU MAHAKAM,BOTH,E8. Further Development Not Viable,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,215.8104,127.7347,343.5451,27.99518,Selat Makasar,Kalimantan,190.0824,0.5532967869429661
